id,question_text,survey_id
37,Как вы планируете обеспечиваете обучение и поддержку клиентов при покупке и использовании техники?,13
4,Где расположено ваше заведение(адрес),6
5,Каковы ваши основные виды кухни или специализация?,6
13,Как вы управляете процессом упаковки заказов для доставки?,8
12,Каковы ваши предпочтения по районам/зонам доставки?,8
7,Общая площадь помещения,7
9,Количество посадочных мест,7
10,Площадь залов для посетителей,7
11,Площадь кухни,7
16,"Каковы ваши часы работы и дни недели, когда покупатели могут забирать заказы?",21
17,Есть ли у вас особые инструкции или требования для клиентов при самовывозе заказов?,21
23,Где расположено ваше заведение (адрес).,10
24,Каков размер вашего ритейл-заведения (площадь помещения).,10
25,Какие бренды или поставщики товаров представлены в вашем ритейл-заведении?,10
26,Какие категории продуктов наиболее популярны среди ваших клиентов?,11
27,Каковы ваши часы работы и дни недели.,11
28,Площадь залов для посетителей.,11
29,Площадь склада.,11
30,Какие бренды или стили наиболее востребованы среди вашей целевой аудитории?,12
31,Каковы ваши часы работы и дни недели.,12
32,Каковы ваши предпочтения по оплате (наличными. банковской картой. онлайн-платежами),12
35,Какие категории продуктов электроники наиболее популярны в вашем регионе?,13
36,Каковы ваши часы работы и дни недели?,13
40,Где расположено ваше заведение (адрес).,14
42,Каковы рабочие часы вашего заведения?,14
43,Каковы ваши предпочтения по оплате за услуги: наличными. банковской картой. онлайн-платежами,14
44,Какая услуга является вашей специализацией?,15
45,Есть ли у вас сертифицированные специалисты?,15
46,Каким образом клиенты могут записаться на услуги?,15
47,Какие формы оплаты вы принимаете?,15
48,Какие услуги предоставляет ваша клиника?,16
49,Какие специалисты доступны в клинике?,16
50,Каков процесс записи на прием и как долго обычно ждать?,16
51,Какие типы страховки вы принимаете?,16
52,Какие виды тренировок предлагает ваш центр?,17
53,Есть ли у вас персональные тренеры или групповые занятия?,17
54,Каким образом клиенты могут зарегистрироваться на тренировку?,17
55,Есть ли у вас дополнительные услуги или удобства в центре?,17
56,Какие виды туров и услуг предлагает ваше агентство?,18
57,Какова процедура бронирования тура и как долго обычно нужно ждать подтверждения?,18
58,Какой бюджет или тип путешествия у агентства наиболее популярен?,18
6,Какие типы сервисов вы будете предоставлять в вашем заведении?,6
39,Укажите ваш тип заведения,14
22,Какая отрасль вашего заведения?,10
14,Каковы ваши предпочтения по оплате за доставку (наличными. банковской картой. онлайн-платежами),20
15,Каковы ваши предпочтения по времени доставки и возможным временным промежуткам?,20
18,Как вы обеспечиваете быстрое оформление заказов для самовывоза?,21
19,Какой процесс предоставления информации клиентам о готовности заказа для самовывоза?,21
21,Если у вас есть предпочтительный район для парковки клиентов?,21
3,Какой у вас тип заведения?,6
59,Есть ли дополнительный сервис?,7
60,Какие категории продуктов наиболее популярны среди ваших клиентов?,19
61,Каковы ваши часы работы и дни недели?,19
62,Площадь залов для посетителей,19
63,Площадь склада,19
64,Есть ли дополнительный сервис?,11
65,Каковы ваши предпочтения по районам/зонам доставки?,20
66,Есть ли дополнительный сервис?,12
67,Есть ли дополнительный сервис?,13
68,Есть ли дополнительный сервис?,19
69,Каковы ваши предпочтения по времени доставки и возможным временным промежуткам?,8
70,Каковы ваши часы работы и дни недели когда покупатели могут забирать заказы?,9
71,Есть ли у вас особые инструкции или требования для клиентов при самовывозе заказов?,9
72,Как вы обеспечиваете быстрое оформление заказов для самовывоза?,9
73,Какой процесс предоставления информации клиентам о готовности заказа для самовывоза?,9
74,Если у вас есть предпочтительный район для парковки клиентов?,9
